product_id,order_id,unit_price,quantity
921,1,1918.53,4
1180,2,1614.42,5
174,2,852.82,5
218,3,733.35,5
801,3,1688.32,4
218,4,2479.11,2
1268,4,2813.57,1
1349,5,1364.12,3
1511,5,1181.21,2
1569,6,2151.56,3
610,6,1381.63,5
198,7,1240.59,5
703,7,2160.16,4
1862,8,2301.92,1
1952,9,1329.52,5
145,9,1500.99,2
1100,10,498.31,5
297,11,2536.05,1
1628,11,2222.24,1
335,12,2165.1,1
938,13,1490.19,5
1725,13,959.93,3
1820,13,151.64,4
136,13,2601.6,5
685,14,2160.3,1
505,14,2274.16,1
1610,15,344.36,2
1726,15,461.57,5
968,15,2903,5
1403,15,2685.15,3
1634,16,1883.01,3
1461,17,591.23,5
1306,17,1106.15,5
477,18,2418.74,3
1574,18,1981.33,2
1002,18,2887.34,5
1859,18,985.92,2
1945,19,142.26,3
561,19,1150.02,5
936,19,2850.65,1
1461,20,737.78,5
216,20,1994.81,4
322,21,403.43,3
905,21,2249.17,3
1288,21,2818.53,3
1103,22,125.93,4
1280,22,1315.08,3
39,23,2822.68,2
1098,24,2093.65,3
58,24,2072.12,5
1354,24,1712.77,3
1445,24,1720.3,2
1228,25,1870.4,3
3,25,596.87,5
1370,25,873.55,4
930,26,338.25,2
1170,26,1098.21,2
106,27,742.27,1
1818,28,2551.36,5
240,28,1599.79,4
341,28,538.97,5
448,29,2031.22,4
46,29,1080.28,5
536,29,1207.81,4
1466,30,2035.78,3
931,30,1772.76,2
1652,31,112.16,3
855,31,677.26,3
136,31,2500,3
157,31,2351.44,3
1187,32,900.01,3
1162,33,1032.13,3
992,34,952.55,5
1951,34,2715.2,3
234,34,2070.52,3
1544,34,2124.1,1
244,35,2654.63,1
1634,35,2584.24,3
1488,35,338.18,3
1594,36,808.11,3
186,36,617.38,4
461,36,366.66,4
547,36,1208.08,5
1911,37,1010.61,3
1811,37,1650.45,4
648,38,1890.59,5
187,38,106.35,2
1968,38,2785.34,3
1742,38,1812.85,4
573,39,2524.85,5
430,40,2225.32,5
657,40,2812.87,5
763,41,2305.35,5
858,41,1190.14,1
30,41,1284.86,5
139,42,2642.11,5
1090,42,2860.37,4
1748,42,938.86,5
67,42,2792.81,1
1831,43,2617.71,4
649,44,1464.16,3
1750,44,2005.54,3
759,44,1233.23,1
200,44,2905.51,1
867,45,2321.75,1
132,45,2593.23,2
1438,45,1610.82,4
1631,46,1002.77,4
656,46,415.6,5
1841,46,266.1,2
135,46,1170.29,4
308,47,2011.61,2
1446,47,1288.67,2
1437,48,2229.97,2
480,48,570.99,2
